date,region,product,category,channel,campaign,inventory_status,discount_band,holiday_flag,incident_flag,revenue,orders,impressions,avg_order_value,conversion_rate
2025-01-01,East,Smart Lamp,Home,Mobile,Campaign_C,in_stock,medium,1,0,2833.21,48,1027,59.03,4.6738
2025-01-01,East,Yoga Mat,Sports,Mobile,Unknown,in_stock,high,1,0,841.96,26,244,32.38,10.6557
2025-01-01,North,Dumbbell Set,Sports,Mobile,Campaign_B,in_stock,low,1,0,5943.36,46,1048,129.2,4.3893
2025-01-01,North,Smart Lamp,Home,Web,Campaign_B,in_stock,medium,1,0,3093.37,45,603,68.74,7.4627
2025-01-01,North,Snack Box,Grocery,Retail,Campaign_A,in_stock,low,1,0,433.37,21,411,20.64,5.1095
2025-01-01,South,Dumbbell Set,Sports,Mobile,Campaign_B,in_stock,none,1,0,10138.43,66,684,153.61,9.6491
2025-01-01,South,Skincare Kit,Beauty,Web,Campaign_B,in_stock,low,1,0,4834.2,55,1063,87.89,5.174
2025-01-01,South,Smart Lamp,Home,Web,Unknown,in_stock,none,1,0,3340.35,44,1029,75.92,4.276
2025-01-01,West,Skincare Kit,Beauty,Mobile,Unknown,in_stock,none,1,0,4895.59,60,1356,81.59,4.4248
2025-01-01,West,Yoga Mat,Sports,Web,Campaign_B,in_stock,medium,1,0,2240.72,53,1320,42.28,4.0152
2025-01-02,West,Smart Lamp,Home,Web,Campaign_C,in_stock,low,0,0,2120.42,33,432,64.26,7.6389
2025-01-02,West,Skincare Kit,Beauty,Mobile,Campaign_C,low_stock,none,0,0,3098.16,34,450,91.12,7.5556
2025-01-02,South,Office Chair,Furniture,Mobile,Campaign_B,in_stock,low,0,0,10023.27,27,320,371.23,8.4375
2025-01-02,South,Headphones,Electronics,Mobile,Campaign_B,in_stock,none,0,0,6492.36,32,734,202.89,4.3597
2025-01-02,South,Coffee Pack,Grocery,Web,Campaign_A,in_stock,none,0,0,1174.75,31,730,37.9,4.2466
2025-01-02,West,Snack Box,Grocery,Mobile,Campaign_A,in_stock,low,0,0,954.58,49,1195,19.48,4.1004
2025-01-02,North,Laptop,Electronics,Mobile,Campaign_C,in_stock,none,0,0,57362.63,55,495,1042.96,11.1111
2025-01-02,North,Coffee Pack,Grocery,Web,Campaign_B,low_stock,none,0,0,1337.62,45,999,29.72,4.5045
2025-01-02,East,Winter Jacket,Fashion,Web,Campaign_A,in_stock,low,0,0,7238.73,31,485,233.51,6.3918
2025-01-02,East,Skincare Kit,Beauty,Web,Campaign_B,in_stock,none,0,0,3812.99,37,801,103.05,4.6192
2025-01-02,North,Skincare Kit,Beauty,Mobile,Campaign_C,in_stock,medium,0,0,3191.76,44,723,72.54,6.0858
2025-01-03,West,Yoga Mat,Sports,Web,Campaign_A,in_stock,none,0,0,2766.45,52,1238,53.2,4.2003
2025-01-03,West,Snack Box,Grocery,Mobile,Campaign_A,in_stock,none,0,0,1057.19,41,694,25.79,5.9078
2025-01-03,West,Skincare Kit,Beauty,Web,Campaign_B,in_stock,none,0,0,1928.6,19,371,101.51,5.1213
2025-01-03,South,Standing Desk,Furniture,Retail,Campaign_A,in_stock,low,0,0,28970.32,45,618,643.78,7.2816
2025-01-03,South,Smart Lamp,Home,Mobile,Campaign_A,in_stock,none,0,0,3356.55,39,876,86.07,4.4521
2025-01-03,South,Organic Bundle,Grocery,Web,Campaign_B,in_stock,low,0,0,1623.7,26,393,62.45,6.6158
2025-01-03,South,Dumbbell Set,Sports,Mobile,Campaign_C,in_stock,none,0,0,7154.47,49,590,146.01,8.3051
2025-01-03,North,Winter Jacket,Fashion,Web,Campaign_A,in_stock,low,0,0,6632.4,28,320,236.87,8.75
2025-01-03,North,Organic Bundle,Grocery,Mobile,Campaign_A,low_stock,high,0,0,2137.72,43,785,49.71,5.4777
2025-01-03,North,Laptop,Electronics,Web,Campaign_B,in_stock,none,0,0,17445.32,15,204,1163.02,7.3529
2025-01-03,East,Standing Desk,Furniture,Web,Campaign_A,in_stock,none,0,0,49820.46,66,1181,754.86,5.5885
2025-01-03,East,Skincare Kit,Beauty,Web,Campaign_C,in_stock,low,0,0,3016.12,37,341,81.52,10.8504
2025-01-03,East,Running Shoes,Fashion,Mobile,Campaign_B,in_stock,low,0,0,8192.69,69,1703,118.73,4.0517
2025-01-03,North,Yoga Mat,Sports,Retail,Unknown,in_stock,none,0,0,2714.73,64,1222,42.42,5.2373
2025-01-04,South,Skincare Kit,Beauty,Retail,Campaign_C,in_stock,high,0,0,4507.99,69,1495,65.33,4.6154
2025-01-04,West,Standing Desk,Furniture,Web,Campaign_B,low_stock,low,0,0,31572.99,54,830,584.69,6.506
2025-01-04,West,Smart Lamp,Home,Web,Campaign_A,low_stock,medium,0,0,5092.83,64,680,79.58,9.4118
2025-01-04,West,Laptop,Electronics,Retail,Campaign_A,in_stock,low,0,0,44097.78,37,911,1191.83,4.0615
2025-01-04,West,Coffee Pack,Grocery,Retail,Campaign_A,in_stock,none,0,0,2240.99,68,769,32.96,8.8427
