date,region,product,category,channel,campaign,orders,impressions,discount_band,revenue,holiday_flag,inventory_status,incident_flag
2025-01-01,East,Smart Lamp,Home,Mobile,Campaign_C,48,1027,medium,2833.21,1,in_stock,0
2025-01-01,East,Yoga Mat,Sports,Mobile,,26,244,high,841.96,1,in_stock,0
2025-01-01,West,Yoga Mat,Sports,Web,Campaign_B,53,1320,medium,2240.72,1,in_stock,0
2025-01-01,West,Skincare Kit,Beauty,Mobile,,60,1356,none,4895.59,1,in_stock,0
2025-01-01,North,Smart Lamp,Home,Web,Campaign_B,45,603,medium,3093.37,1,in_stock,0
2025-01-01,North,Dumbbell Set,Sports,Mobile,Campaign_B,46,1048,low,5943.36,1,in_stock,0
2025-01-01,North,Snack Box,Grocery,Retail,Campaign_A,21,411,low,433.37,1,in_stock,0
2025-01-01,South,Skincare Kit,Beauty,Web,Campaign_B,55,1063,low,4834.2,1,in_stock,0
2025-01-01,South,Dumbbell Set,Sports,Mobile,Campaign_B,66,684,none,10138.43,1,in_stock,0
2025-01-01,South,Smart Lamp,Home,Web,,44,1029,none,3340.35,1,in_stock,0
2025-01-02,South,Headphones,Electronics,Mobile,Campaign_B,32,734,none,6492.36,0,in_stock,0
2025-01-02,South,Office Chair,Furniture,Mobile,Campaign_B,27,320,low,10023.27,0,in_stock,0
2025-01-02,North,Coffee Pack,Grocery,Web,Campaign_B,45,999,none,1337.62,0,low_stock,0
2025-01-02,North,Laptop,Electronics,Mobile,Campaign_C,55,495,none,57362.63,0,in_stock,0
2025-01-02,North,Skincare Kit,Beauty,Mobile,Campaign_C,44,723,medium,3191.76,0,in_stock,0
2025-01-02,South,Coffee Pack,Grocery,Web,Campaign_A,31,730,none,1174.75,0,in_stock,0
2025-01-02,West,Skincare Kit,Beauty,Mobile,Campaign_C,34,450,none,3098.16,0,low_stock,0
2025-01-02,West,Smart Lamp,Home,Web,Campaign_C,33,432,low,2120.42,0,in_stock,0
2025-01-02,East,Skincare Kit,Beauty,Web,Campaign_B,37,801,none,3812.99,0,in_stock,0
2025-01-02,East,Winter Jacket,Fashion,Web,Campaign_A,31,485,low,7238.73,0,in_stock,0
2025-01-02,West,Snack Box,Grocery,Mobile,Campaign_A,49,1195,low,954.58,0,in_stock,0
2025-01-03,South,Dumbbell Set,Sports,Mobile,Campaign_C,49,590,none,7154.47,0,in_stock,0
2025-01-03,South,Smart Lamp,Home,Mobile,Campaign_A,39,876,none,3356.55,0,in_stock,0
2025-01-03,South,Organic Bundle,Grocery,Web,Campaign_B,26,393,low,1623.7,0,in_stock,0
2025-01-03,South,Standing Desk,Furniture,Retail,Campaign_A,45,618,low,28970.32,0,in_stock,0
2025-01-03,North,Laptop,Electronics,Web,Campaign_B,15,204,none,17445.32,0,in_stock,0
2025-01-03,North,Yoga Mat,Sports,Retail,,64,1222,none,2714.73,0,in_stock,0
2025-01-03,North,Winter Jacket,Fashion,Web,Campaign_A,28,320,low,6632.4,0,in_stock,0
2025-01-03,West,Skincare Kit,Beauty,Web,Campaign_B,19,371,none,1928.6,0,in_stock,0
2025-01-03,West,Snack Box,Grocery,Mobile,Campaign_A,41,694,none,1057.19,0,in_stock,0
2025-01-03,West,Yoga Mat,Sports,Web,Campaign_A,52,1238,none,2766.45,0,in_stock,0
2025-01-03,East,Running Shoes,Fashion,Mobile,Campaign_B,69,1703,low,8192.69,0,in_stock,0
2025-01-03,East,Standing Desk,Furniture,Web,Campaign_A,66,1181,none,49820.46,0,in_stock,0
2025-01-03,East,Skincare Kit,Beauty,Web,Campaign_C,37,341,low,3016.12,0,in_stock,0
2025-01-03,North,Organic Bundle,Grocery,Mobile,Campaign_A,43,785,high,2137.72,0,low_stock,0
2025-01-04,North,Running Shoes,Fashion,Mobile,,40,338,low,4109.45,0,in_stock,0
2025-01-04,South,Organic Bundle,Grocery,Web,Campaign_B,32,358,low,1905.26,0,in_stock,0
2025-01-04,South,Running Shoes,Fashion,Mobile,Campaign_A,29,613,none,3797.6,0,in_stock,0
2025-01-04,South,Skincare Kit,Beauty,Retail,Campaign_C,69,1495,high,4507.99,0,in_stock,0
2025-01-04,North,Coffee Pack,Grocery,Web,Campaign_A,44,714,none,1434.29,0,in_stock,0
2025-01-04,North,Skincare Kit,Beauty,Web,Campaign_B,56,1367,low,5108.42,0,low_stock,0
2025-01-04,West,Smart Lamp,Home,Web,Campaign_A,64,680,medium,5092.83,0,low_stock,0
2025-01-04,West,Standing Desk,Furniture,Web,Campaign_B,54,830,low,31572.99,0,low_stock,0
2025-01-04,West,Laptop,Electronics,Retail,Campaign_A,37,911,low,44097.78,0,in_stock,0
2025-01-04,West,Coffee Pack,Grocery,Retail,Campaign_A,68,769,none,2240.99,0,in_stock,0
2025-01-04,East,Skincare Kit,Beauty,Web,Campaign_B,48,389,low,4814.77,0,in_stock,0
2025-01-04,East,Winter Jacket,Fashion,Mobile,Campaign_B,69,846,none,16548.06,0,in_stock,0
2025-01-05,South,Smart Lamp,Home,Mobile,Campaign_A,52,672,high,3081.5,0,in_stock,0
2025-01-05,North,Skincare Kit,Beauty,Web,Campaign_C,63,1341,none,5946.96,0,in_stock,0
2025-01-05,North,Smart Lamp,Home,Web,Campaign_A,33,743,low,3031.84,0,in_stock,0
2025-01-05,North,Tablet,Electronics,Mobile,Campaign_C,13,1054,none,5980.06,0,out_of_stock,0
2025-01-05,North,Organic Bundle,Grocery,Web,Campaign_B,38,772,medium,1810.66,0,in_stock,0
2025-01-05,South,Skincare Kit,Beauty,Web,Campaign_A,68,606,medium,5774.65,0,in_stock,0
2025-01-05,West,Snack Box,Grocery,Web,,29,631,none,528.41,0,in_stock,0
2025-01-05,West,Tablet,Electronics,Mobile,Campaign_A,75,939,medium,30929.27,0,in_stock,0
2025-01-05,West,Smart Lamp,Home,Retail,Campaign_A,22,428,none,1873.35,0,in_stock,0
2025-01-05,East,Dumbbell Set,Sports,Web,Campaign_A,41,761,medium,6193.21,0,in_stock,0
2025-01-05,East,Standing Desk,Furniture,Web,Campaign_C,61,1221,low,32196.43,0,in_stock,0
2025-01-05,West,Running Shoes,Fashion,Web,Campaign_A,46,805,none,6515.23,0,in_stock,0
2025-01-06,South,Headphones,Electronics,Web,Campaign_A,25,235,none,5745.08,0,in_stock,0
2025-01-06,South,Standing Desk,Furniture,Web,Campaign_B,44,776,high,20497.39,0,in_stock,0
2025-01-06,South,Skincare Kit,Beauty,Web,,48,804,low,3719.53,0,in_stock,0
2025-01-06,South,Winter Jacket,Fashion,Web,,46,834,medium,7979.63,0,in_stock,0
2025-01-06,North,Skincare Kit,Beauty,Retail,Campaign_A,45,1029,low,4147.49,0,in_stock,0
2025-01-06,West,Smart Lamp,Home,Web,Campaign_B,66,1159,medium,4405.12,0,in_stock,0
2025-01-06,West,Tablet,Electronics,Mobile,Campaign_B,16,328,low,6435.45,0,in_stock,0
2025-01-06,East,Running Shoes,Fashion,Web,Campaign_A,11,221,none,1753.83,0,low_stock,0
